edge_id,from_node_id,from_node_type,to_node_id,to_node_type,relationship,timestamp,trip_id,rider_id,route_id,station_id,mode,rider_segment,edge_strength,fare_bucket,region,province,city,promotion,same_household,prior_interactions,dwell_seconds,distance_bucket,total_fare_cad,citation_issued
EDGE300000,S016,Station,S014,Station,CONNECTS_TO,2024-04-19 10:49:27,,,,S016,skytrain,Commuter,0.586,$3-$4.5,NA,BC,Vancouver,None,False,0,5,10-20km,3.15,False
EDGE300001,R69711,Rider,S002,Station,TRANSFERRED_TO,2025-02-19 08:48:59,T102090,R69711,R051,S002,seabus,Senior,0.183,$3-$4.5,NA,BC,Vancouver,HolidayFreeRide,False,2,32,>=20km,3.12,False
EDGE300002,S011,Station,S026,Station,CONNECTS_TO,2025-06-27 10:44:03,,,,S011,wce,Commuter,0.412,<$3,NA,BC,Vancouver,CarFreeDay,False,1,22,<2km,2.06,False
EDGE300003,R013,Route,S014,Station,ROUTE_SERVES,2025-02-27 14:17:11,,,R013,S014,seabus,Student,0.536,<$3,NA,BC,Vancouver,CarFreeDay,False,1,36,>=20km,2.21,False
EDGE300004,R59109,Rider,V0347,Vehicle,BOARDED,2024-12-01 14:07:44,T101092,R59109,R106,S009,skytrain,Commuter,0.945,$3-$4.5,NA,BC,Vancouver,None,False,2,38,<2km,3.15,False
EDGE300005,S006,Station,S001,Station,CONNECTS_TO,2024-08-24 13:42:41,,,,S006,skytrain,Senior,0.32,$4.5-$6.5,NA,BC,Vancouver,None,False,2,20,10-20km,6.23,False
EDGE300006,R88279,Rider,S027,Station,TRANSFERRED_TO,2025-02-01 05:45:45,T100438,R88279,R113,S027,seabus,Commuter,0.672,$3-$4.5,NA,BC,Vancouver,CarFreeDay,False,2,5,2-5km,4.32,False
EDGE300007,R59650,Rider,V0823,Vehicle,BOARDED,2024-04-07 03:55:22,T100460,R59650,R027,S026,bus,Commuter,0.649,<$3,NA,BC,Vancouver,None,False,1,24,5-10km,2.17,False
EDGE300008,S030,Station,S010,Station,CONNECTS_TO,2024-10-06 08:51:05,,,,S030,skytrain,Tourist,0.534,>$6.5,NA,BC,Vancouver,None,False,1,41,>=20km,8.12,False
EDGE300009,S011,Station,S014,Station,CONNECTS_TO,2025-03-30 01:17:44,,,,S011,bus,Student,0.135,<$3,NA,BC,Vancouver,None,False,3,53,10-20km,2.14,False
EDGE300010,R42192,Rider,R37585,Rider,SHARES_TRIP_WITH,2025-03-24 19:54:31,T100799,R42192,R101,S028,skytrain,Student,0.498,$3-$4.5,NA,BC,Vancouver,None,False,1,6,5-10km,3.4,False
